Tweet Text,Author,Coordinates,Hashtags (Location),Creation Time (UTC)
"Accident cleared in #SouthLa on 110 SB approaching Slauson Ave, stopped traffic back to Martin Luther King Jr Blvd, delay of 11 mins",TotalTrafficLA,"[33.98635, -118.2803]",['SouthLa'],2019-07-28 00:22:32
"Accident cleared in #SouthLa on 110 SB approaching Slauson Ave, stopped traffic back to Adams Blvd, delay of 21 mins #LAtraffic",TotalTrafficLA,"[33.98635, -118.2803]",['SouthLa'],2019-07-28 00:02:42
"!! sigalert !! the left lane is blocked due to a collision in #SouthLa on 110 SB approaching Slauson Ave, stopped traffic back to I 10",TotalTrafficLA,"[33.98635, -118.2803]",['SouthLa'],2019-07-27 23:11:21
"Accident, left lane blocked in #ElysianPark on I-5 NB at 2 Glendale Fwy, stopped traffic back to I-10, delay of 29 mins #LAtraffic",TotalTrafficLA,"[34.09955, -118.2475]",['ElysianPark'],2019-07-27 19:51:47
"A crash is on the right shoulder. chphas the right lane shutdown. in #Hollywood on US-101 SB at Highland Ave, sto... https://t.co/e2e6MWkOvI",TotalTrafficLA,"[34.11001, -118.3339]",['Hollywood'],2019-07-27 19:26:32
"An overturned car is blocking the 2 right lanes. in #Pomona on I-10 EB before Kellogg Dr, stopped traffic back to Grand Ave #LAtraffic",TotalTrafficLA,"[34.06389, -117.8148]",['Pomona'],2019-07-27 17:48:29
"Accident cleared in #Commerce on 5 SB at Garfield Ave, stopped traffic back to Atlantic Blvd, delay of 18 mins #LAtraffic",TotalTrafficLA,"[33.98433, -118.1332]",['Commerce'],2019-07-27 17:33:07
"Crash blocking lanes of off-ramp. in #Commerce on 5 SB at Garfield Ave, stopped traffic back to Atlantic Blvd, delay of 18 mins #LAtraffic",TotalTrafficLA,"[33.98433, -118.1332]",['Commerce'],2019-07-27 17:14:47
"An overturned car is blocking the 2 right lanes. in #Pomona on I-10 EB at Kellogg Dr, stopped traffic back to Grand Ave, delay of 25 mins",TotalTrafficLA,"[34.06389, -117.8148]",['Pomona'],2019-07-27 17:12:08
"An overturned car is blocking the 3 right lanes. in #Pomona on I-10 EB at Kellogg Dr, stopped traffic back to Holt Ave, delay of 20 mins",TotalTrafficLA,"[34.06389, -117.8148]",['Pomona'],2019-07-27 16:53:17
!! sigalert !! a crash is blocking the left lane. in #SouthGate on 710 SB before Florence Ave #LAtraffic https://t.co/e2e6MWkOvI,TotalTrafficLA,"[33.96469, -118.1689]",['SouthGate'],2019-07-27 14:44:40
"!! sigalert !! a crash is blocking the two right lanes. in #EastLa on 60 WB before Downey Rd, stopped traffic back to I-710, delay of 9 mins",TotalTrafficLA,"[34.03416, -118.1792]",['EastLa'],2019-07-27 13:51:05
"A crash is blocking the two right lanes. in #Willowbrook on 105 WB before Central Ave, stopped traffic back to Long Beach Blvd #LAtraffic",TotalTrafficLA,"[33.92874, -118.2504]",['Willowbrook'],2019-07-27 13:50:33
"Accident, right lane blocked in #Downey on 5 NB at Paramount Blvd, stopped traffic back to I-605, delay of 18 mins #LAtraffic",TotalTrafficLA,"[33.9627, -118.1183]",['Downey'],2019-07-27 13:24:42
"!! sigalert !! a crash is blocking the two right lanes. in #EastLa on 60 WB before Downey Rd, stopped traffic back to Atlantic Blvd",TotalTrafficLA,"[34.03416, -118.1792]",['EastLa'],2019-07-27 13:13:55
"Accident, right lane blocked in #Downey on 5 NB at Paramount Blvd, stopped traffic back to Lakewood Blvd, delay of 5 mins #LAtraffic",TotalTrafficLA,"[33.9627, -118.1183]",['Downey'],2019-07-27 13:13:23
"The transition to the 405 north is closed due to a brush fire. in #Hawthorne on 105 WB at I-405, stopped traffic back to Prairie Ave",TotalTrafficLA,"[33.93283, -118.359]",['Hawthorne'],2019-07-27 11:11:26
"!! sigalert !! a crash has only the right lane open. in #Encino on US-101 NB at White Oak Ave, stopped traffic back to Balboa Blvd",TotalTrafficLA,"[34.17128, -118.5151]",['Encino'],2019-07-27 09:28:46
"!! sigalert !! a crash is blocking the three left lanes. in #Encino on US-101 NB at White Oak Ave, stopped traffic back to Balboa Blvd",TotalTrafficLA,"[34.17128, -118.5151]",['Encino'],2019-07-27 09:19:30
"A stalled car has all lanes temporarily stopped. in #SouthL.a. on 110 SB before Exposition Blvd, stopped traffic back to Adams Blvd",TotalTrafficLA,"[34.01846, -118.2794]",['SouthL'],2019-07-27 07:39:21
"Accident, right lane blocked in #SealBeach on 405 SB before Seal Beach Blvd, stopped traffic back to I-605, delay of 7 mins #LAtraffic",TotalTrafficLA,"[33.7745, -118.0695]",['SealBeach'],2019-07-27 07:23:28
"!! sigalert !! a crash has the three right lanes shut down. in #SealBeach on 405 NB at I-605, stopped traffic back to Seal Beach Blvd",TotalTrafficLA,"[33.77482, -118.0852]",['SealBeach'],2019-07-27 07:22:56
"A motorcycle crash is blocking the left lane. in #EastLa on 5 SB at Calzona St, stopped traffic back to US-101, delay of 5 mins #LAtraffic",TotalTrafficLA,"[34.02079, -118.1945]",['EastLa'],2019-07-27 07:12:41
"A motorcycle crash is blocking the left lane. in #EastLa on 5 SB at Calzona St, stopped traffic back to Grande Vista Ave, delay of 5 mins",TotalTrafficLA,"[34.02079, -118.1945]",['EastLa'],2019-07-27 06:57:36
"Accident, two lanes blocked in #Irwindale on 210 EB at Vernon Ave, stopped traffic back to Buena Vista St, delay of 27 mins #LAtraffic",TotalTrafficLA,"[34.12393, -117.9135]",['Irwindale'],2019-07-27 03:47:15
Reopened in #MalibuPacificPalisades on Hwy 27 NB between CA-1 and Mulholland Dr #LAtraffic https://t.co/e2e6MWkOvI,TotalTrafficLA,"[34.04013, -118.579]",['MalibuPacificPalisades'],2019-07-27 03:35:23
"Crash has the carpool and left lane blocked. in #Hawthorne on 105 EB before Crenshaw Blvd, stopped traffic back to I-405, delay of 17 mins",TotalTrafficLA,"[33.92564, -118.3216]",['Hawthorne'],2019-07-27 03:24:27
