Full Text,Author,Creation Time,Hashtags,text,useful tweet
I could see the fires from Canoga Station #cafires #fire #mountains #smoke @Canoga station https://www.instagram.com/p/BqAuwkJAt7-/?utm_source=ig_twitter_share&igshid=1thgu2nyrmhmg …,noirviper,Sat Nov 10 19:25:25 +0000 2018,#cafires #fire #mountains #smoke,i could see the fires from canoga station #cafires #fire #mountains #smoke @canoga station …,False
"Absolutely heartbreaking to see our beloved communities of Malibu, Topanga and more on fire. The @lafdfoundation needs your help and is requesting donations at http://supportlafd.org to provide… https://www.instagram.com/p/BqAu32lhGwE/?utm_source=ig_twitter_share&igshid=b74y9dww3213 …",PLEASUREPMUSIC,Sat Nov 10 19:24:29 +0000 2018,,"absolutely heartbreaking to see our beloved communities of malibu, topanga and more on fire. the @lafdfoundation needs your help and is requesting donations at to provide… …",False
Never gets old...game one of two today. Clippers vs Bucks then Kings vs Flames. Blessed man! Hope y’all have a great day. Prayers to all those going through those horrific fires @… https://www.instagram.com/p/BqAuuKQll0x/?utm_source=ig_twitter_share&igshid=1be8lhnzjc744 …,bigbrotherjake,Sat Nov 10 19:23:16 +0000 2018,,never gets old...game one of two today. clippers vs bucks then kings vs flames. blessed man! hope y’all have a great day. prayers to all those going through those horrific fires @… …,False
Ted Lieu with the mic drop on Trump! People have lost their lives and homes and Trump tweets about not helping them! #woolseyfire #truth #notmypresident #awfulthings reptedlieu #fires… https://www.instagram.com/p/BqAufklgZ2f/?utm_source=ig_twitter_share&igshid=m24fhu8jdq23 …,dawndhi,Sat Nov 10 19:21:08 +0000 2018,#woolseyfire #truth #notmypresident #awfulthings #fires,ted lieu with the mic drop on trump! people have lost their lives and homes and trump tweets about not helping them! #woolseyfire #truth #notmypresident #awfulthings reptedlieu #fires… …,False
"View of the fires from Manhattan Beach last night :( @Manhattan Beach, California https://www.instagram.com/p/BqAuSNuFoAq/?utm_source=ig_twitter_share&igshid=un6qq6l0yn9s …",all_about_bruce,Sat Nov 10 19:19:19 +0000 2018,,"view of the fires from manhattan beach last night :( @manhattan beach, california …",False
Just because you get a break from the fire doesn’t mean the work ends. @lacofireairops constantly prepared for continuous operations. @LA County Fire Dept… https://www.instagram.com/p/BqAtsM6ltnEXIzVFIPtqsidx4LQqmkqql3OpbE0/?utm_source=ig_twitter_share&igshid=1mhtwdhdsulgr …,pgottwig,Sat Nov 10 19:14:09 +0000 2018,,just because you get a break from the fire doesn’t mean the work ends. @lacofireairops constantly prepared for continuous operations. @la county fire dept… …,False
"San Carlos —> Santa Monica (quick stop in SLO) Great experience despite the Bay's 8000' smoke layer and raging fires in LA. #flyblackbird @Los Angeles,… https://www.instagram.com/p/BqAtVJkFJYqbN7uCF1F2fWCGcmvmKvWJeK-mH00/?utm_source=ig_twitter_share&igshid=1pucxu66gbwl7 …",JasprJ,Sat Nov 10 19:11:00 +0000 2018,#flyblackbird,"san carlos —> santa monica (quick stop in slo) great experience despite the bay's 8000' smoke layer and raging fires in la. #flyblackbird @los angeles,… …",False
Prayers to those suffering from the fires here in California #prayers #safety #love #malibu #fires #thank you to the #brave #firefighters #drpetti #staff #spabella #wecare… https://www.instagram.com/p/BqArqD8ApwD/?utm_source=ig_twitter_share&igshid=4rk93a3c6mvw …,DrPetti,Sat Nov 10 19:04:36 +0000 2018,#prayers #safety #love #malibu #fires #thank #brave #firefighters #drpetti #staff #spabella #wecare,prayers to those suffering from the fires here in california #prayers #safety #love #malibu #fires #thank you to the #brave #firefighters #drpetti #staff #spabella #wecare… …,False
"Let's all pray for those suffering the effects of these fires in LA and Paradise, and for all beings suffering anywhere. Sending Love and Uplifting Supportive Positive Healing Vibrations… https://www.instagram.com/p/BqAr7y9nHo5/?utm_source=ig_twitter_share&igshid=5y7o6u02buen …",AMMASSURYA,Sat Nov 10 18:59:13 +0000 2018,,"let's all pray for those suffering the effects of these fires in la and paradise, and for all beings suffering anywhere. sending love and uplifting supportive positive healing vibrations… …",False
Prayers to those suffering from the fires her in California #prayers #safety #love #malibu #fires #thank you to the #brave #firefighters #drpetti #staff #spabella #wecare… https://www.instagram.com/p/BqArqD8ApwD/?utm_source=ig_twitter_share&igshid=1t7a25zvvl6w0 …,DrPetti,Sat Nov 10 18:57:36 +0000 2018,#prayers #safety #love #malibu #fires #thank #brave #firefighters #drpetti #staff #spabella #wecare,prayers to those suffering from the fires her in california #prayers #safety #love #malibu #fires #thank you to the #brave #firefighters #drpetti #staff #spabella #wecare… …,False
